"hilos","promedio_segundos","mejor_segundos","speedup"
"1","1.082423","1.07804","1"
"2","0.573746","0.556003","1.886589"
"3","0.50386","0.501613","2.148261"
"4","0.358103","0.354095","3.022658"
"5","0.330846","0.322361","3.271682"
"6","0.276009","0.265201","3.921695"
"7","0.256016","0.252939","4.227951"
"8","0.229359","0.224957","4.71934"
"9","0.218755","0.21672","4.948106"
"10","0.202416","0.199658","5.347517"
"11","0.194207","0.190547","5.573553"
"12","0.183306","0.181376","5.905006"
"13","0.173386","0.170967","6.242851"
"14","0.161597","0.160132","6.698286"
"15","0.153894","0.152758","7.033562"
"16","0.160256","0.149947","6.754337"
"17","0.164922","0.155689","6.563242"
"18","0.154941","0.14918","6.986033"
"19","0.149516","0.148521","7.239513"
"20","0.14507","0.144027","7.461384"
"21","0.144835","0.141532","7.473491"
"22","0.149032","0.138171","7.263024"
"23","0.143109","0.142021","7.563626"
"24","0.139697","0.134659","7.748363"
"25","0.136472","0.132271","7.931466"
"26","0.141174","0.138467","7.667297"
"27","0.137292","0.130832","7.884094"
"28","0.143764","0.137866","7.529166"
"29","0.138514","0.136649","7.814539"
"30","0.144125","0.140077","7.510307"
"31","0.135139","0.13344","8.009701"
"32","0.143729","0.14275","7.530999"
